replica,domain,column,strength,row,psnr_db,ssim,noop_db,gain_db,gain_ssim,reference_row,denominator_db,retained
1,synthetic,d3n,3,d0,20.578865799881484,0.2237251766113468,26.390145817787996,-5.811280017906512,-0.4121716640690263,d3n,1.4168995861716098,-4.10140568507631
1,synthetic,d3n,3,d1,24.70937146737542,0.49178486387914333,26.390145817787996,-1.6807743504125767,-0.14411197680122978,d3n,1.4168995861716098,-1.1862339200436518
1,synthetic,d3n,3,d15,22.980588194260577,0.3625003119274764,26.390145817787996,-3.4095576235274194,-0.2733965287528967,d3n,1.4168995861716098,-2.406350920561611
1,synthetic,d3n,3,d2,24.983902560131092,0.5149184860932715,26.390145817787996,-1.4062432576569037,-0.1209783545871016,d3n,1.4168995861716098,-0.9924791222901695
1,synthetic,d3n,3,d3,26.161356061478735,0.6267729677168976,26.390145817787996,-0.22878975630926135,-0.009123872963475499,d3n,1.4168995861716098,-0.16147210327546185
1,synthetic,d3n,3,d3n,27.807045403959606,0.7140289451902461,26.390145817787996,1.4168995861716098,0.07813210450987296,d3n,1.4168995861716098,1.0
1,synthetic,d3n,4,noop,25.678537290510437,0.5996513932355693,25.678537290510437,0.0,0.0,d3n,1.3233877481093437,0.0
1,synthetic,d3n,4,d0,20.429812864563274,0.2074192446260385,25.678537290510437,-5.248724425947163,-0.39223214860953076,d3n,1.3233877481093437,-3.9661274131075697
1,synthetic,d3n,4,d1,24.153082560866093,0.460741995303004,25.678537290510437,-1.5254547296443448,-0.13890939793256524,d3n,1.3233877481093437,-1.152689173542436
1,synthetic,d3n,4,d15,22.809291493769543,0.3478802816303963,25.678537290510437,-2.869245796740895,-0.25177111160517296,d3n,1.3233877481093437,-2.1681066647624925
1,synthetic,d3n,4,d2,24.501273950030548,0.4913358417223317,25.678537290510437,-1.1772633404798896,-0.10831555151323757,d3n,1.3233877481093437,-0.8895830735638783
1,synthetic,d3n,4,d3,25.445870710202787,0.588077003280042,25.678537290510437,-0.23266658030765086,-0.011574389955527287,d3n,1.3233877481093437,-0.17581134526902617
1,synthetic,d3n,4,d3n,27.00192503861978,0.6757670454226189,25.678537290510437,1.3233877481093437,0.07611565218704963,d3n,1.3233877481093437,1.0
1,synthetic,d3n,5,noop,25.145048899225227,0.5744387361365305,25.145048899225227,0.0,0.0,d3n,1.2524403137780133,0.0
1,synthetic,d3n,5,d0,20.26592643361696,0.1954965219985991,25.145048899225227,-4.8791224656082655,-0.3789422141379314,d3n,1.2524403137780133,-3.8956926026201493
1,synthetic,d3n,5,d1,23.72304217360949,0.4384652537072488,25.145048899225227,-1.4220067256157378,-0.1359734824292817,d3n,1.2524403137780133,-1.1353888165147157
