domain,column,strength,row,psnr_db_n,psnr_db_mean,psnr_db_min,psnr_db_max,psnr_db_range,ssim_n,ssim_mean,ssim_min,ssim_max,ssim_range,gain_db_n,gain_db_mean,gain_db_min,gain_db_max,gain_db_range,gain_ssim_n,gain_ssim_mean,gain_ssim_min,gain_ssim_max,gain_ssim_range,denominator_db_n,denominator_db_mean,denominator_db_min,denominator_db_max,denominator_db_range,retained_n,retained_mean,retained_min,retained_max,retained_range,source
synthetic,d0,3,noop,4,29.138320171557883,29.000632517281833,29.31514854072965,0.3145160234478155,4,0.6974330306823331,0.6890476968436734,0.7046745954712792,0.0156268986276058,4,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4,5.192553944764808,5.10517458418725,5.263682226440718,0.15850764225346836,4,0.0,0.0,0.0,0.0,original_synthetic_results
synthetic,d0,4,d0,4,32.61338505519856,32.38100670648853,32.89473554870892,0.5137288422203952,4,0.8442698541849716,0.8378528164558008,0.8501937657230897,0.012340949267288903,4,4.559000117844568,4.449766700816269,4.686174531139681,0.23640783032341162,4,0.1899177992783885,0.18710798050286037,0.19226538039009333,0.005157399887232961,4,4.559000117844568,4.449766700816269,4.686174531139681,0.23640783032341162,4,1.0,1.0,1.0,0.0,original_synthetic_results
synthetic,d0,4,d1,4,30.194988570070393,29.994158347582033,30.36232192420064,0.3681635766186062,4,0.747165512224073,0.7382174718268041,0.7535517555894986,0.015334283762694523,4,2.1406036327164024,2.062918341909775,2.176023408594265,0.11310506668448994,4,0.09281345731749,0.09169990435312614,0.0946295873799794,0.002929683026853258,4,4.559000117844568,4.449766700816269,4.686174531139681,0.23640783032341162,4,0.46957650863619327,0.4595989526893702,0.4783713211068493,0.018772368417479146,original_synthetic_results
synthetic,d0,4,d15,4,29.77914285849974,29.62341901806039,29.953687425174625,0.3302684071142359,4,0.7211891743380607,0.7151878046513723,0.7248853347516956,0.00969753010032326,4,1.7247579211457458,1.6902627627890752,1.771463501800394,0.08120073901131875,4,0.06683711943147766,0.06303348351532312,0.07036603669325514,0.007332553177932022,4,4.559000117844568,4.449766700816269,4.686174531139681,0.23640783032341162,4,0.37836223656838397,0.3723989356369463,0.3881012535992875,0.015702317962341172,original_synthetic_results
synthetic,d0,4,d2,4,29.961017056545984,29.81605062439968,30.122263294094605,0.30621266969492567,4,0.7228687816850937,0.7160694316743126,0.728941900350958,0.012872468676645377,4,1.9066321191919906,1.8803058578769196,1.9477097236382583,0.06740386576133872,4,0.06851672677851062,0.06674010001135555,0.07048199560860513,0.003741895597249578,4,4.559000117844568,4.449766700816269,4.686174531139681,0.23640783032341162,4,0.41830631801591167,0.40837195964614437,0.4267141742538168,0.018342214607672436,original_synthetic_results
synthetic,d0,4,d3,4,28.439821299185667,28.288012146748287,28.595335859379297,0.30732371263101044,4,0.6684522827170447,0.6595513638518226,0.6762245215944281,0.016673157742605582,4,0.3854363618316743,0.3567721410760285,0.40612791768596423,0.04935577660993573,4,0.014100227810461635,0.013669055736477476,0.014395257361198288,0.0007262016247208125,4,4.559000117844568,4.449766700816269,4.686174531139681,0.23640783032341162,4,0.08453791399095104,0.08017771830837377,0.08954181929594277,0.009364100987568999,original_synthetic_results
synthetic,d0,4,d3n,4,28.322917774887166,28.079316428815815,28.573754710345202,0.49443828152938707,4,0.6683119589276082,0.6591467045562368,0.677208987650737,0.018062283094500198,4,0.2685328375331748,0.14807642314355718,0.3651936927759607,0.21711726963240352,4,0.013959904021025121,0.013179483198981323,0.015357136414364536,0.002177653215383213,4,4.559000117844568,4.449766700816269,4.686174531139681,0.23640783032341162,4,0.05861842079810429,0.03327734533057517,0.0779300238071042,0.04465267847652903,original_synthetic_results
synthetic,d0,4,noop,4,28.05438493735399,27.931240005672258,28.20856101756924,0.27732101189698355,4,0.6543520549065831,0.6455874360657075,0.6618518512363725,0.016264415170665014,4,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4,4.559000117844568,4.449766700816269,4.686174531139681,0.23640783032341162,4,0.0,0.0,0.0,0.0,original_synthetic_results
synthetic,d0,5,d0,4,31.28654807874636,31.072692706506576,31.548656436042606,0.47596372953602994,4,0.7881071869313785,0.7795549400507564,0.7956197674705389,0.016064827419782435,4,4.034781052074585,3.931798625104303,4.159307072957358,0.22750844785305446,4,0.16214005804196324,0.15944493556980133,0.16448426823380968,0.005039332664008356,4,4.034781052074585,3.931798625104303,4.159307072957358,0.22750844785305446,4,1.0,1.0,1.0,0.0,original_synthetic_results
synthetic,d0,5,d1,4,28.20507627878848,28.044251945567243,28.315629268520876,0.2713773229536329,4,0.6633120232215941,0.6544601597864304,0.6696576909070283,0.015197531120597962,4,0.9533092521167035,0.9033578641649704,1.0066642782725737,0.10330641410760322,4,0.03734489433217891,0.03625659159931216,0.037990282231607386,0.0017336906322952261,4,4.034781052074585,3.931798625104303,4.159307072957358,0.22750844785305446,4,0.23638200351374633,0.2227005338119993,0.2527847386697382,0.03008420485773891,original_synthetic_results
synthetic,d0,5,d15,4,28.654741279356415,28.492681689911606,28.81580730187501,0.3231256119634054,4,0.6754738122912567,0.6676015907316141,0.6816358330104273,0.014034242278813225,4,1.4029742526846425,1.3517876085093334,1.4289305476515501,0.0771429391422167,4,0.0495066834018415,0.04782944972151759,0.05150353930086038,0.0036740895793427875,4,4.034781052074585,3.931798625104303,4.159307072957358,0.22750844785305446,4,0.3477410128277931,0.3429556687613162,0.3527412437945051,0.009785575033188887,original_synthetic_results
synthetic,d0,5,d2,4,28.79391871209672,28.69134808213498,28.88459177617176,0.19324369403678077,4,0.6776013252414548,0.671466022592755,0.6826273860282182,0.011161363435463145,4,1.5421516854249457,1.4952424130865118,1.588432781237394,0.09319036815088211,4,0.051634196352039585,0.049226286720502,0.05432344274341783,0.0050971560229158275,4,4.034781052074585,3.931798625104303,4.159307072957358,0.22750844785305446,4,0.3824609998769746,0.3594931527917611,0.3943370829912674,0.03484393019950632,original_synthetic_results
synthetic,d0,5,d3,4,27.51458102833929,27.3712608491423,27.64349408288517,0.27223323374287034,4,0.634879915266071,0.6258035181609678,0.6423894611805537,0.016585943019585936,4,0.26281400166751645,0.2303667677400263,0.29441570913227366,0.06404894139224737,4,0.008912786376655879,0.008660938311630617,0.009089420628799583,0.00042848231716896557,4,4.034781052074585,3.931798625104303,4.159307072957358,0.22750844785305446,4,0.0651515337623056,0.058590683222977905,0.07393110066543533,0.015340417442457427,original_synthetic_results
synthetic,d0,5,d3n,4,27.413808462018665,27.184710664704372,27.639041781895596,0.45433111719122365,4,0.634783050519869,0.6255685202644464,0.6433474083034925,0.017778888039046037,4,0.16204143534688864,0.04381658330209959,0.24969241881034776,0.20587583550824817,4,0.008815921630453805,0.008192028600868095,0.00994630899577631,0.0017542803949082142,4,4.034781052074585,3.931798625104303,4.159307072957358,0.22750844785305446,4,0.03982645274068401,0.011144157542131806,0.06003221556633255,0.048888058024200744,original_synthetic_results
synthetic,d0,5,noop,4,27.25176702667177,27.140894081402273,27.38934936308525,0.24845528168297548,4,0.6259671288894151,0.6171425798493372,0.6334010993077162,0.016258519458378973,4,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4,4.034781052074585,3.931798625104303,4.159307072957358,0.22750844785305446,4,0.0,0.0,0.0,0.0,original_synthetic_results
