replica,row,epoch,step,lr,train_l1,val_psnr,val_ssim,sec
1,d15,50,70700.0,2.42e-05,0.017183,35.1043,0.91869,62.2
1,d15,51,72114.0,2.01e-05,0.017142,35.0924,0.92022,62.3
1,d15,52,73528.0,1.635e-05,0.017102,35.1265,0.91989,62.3
1,d15,53,74942.0,1.297e-05,0.017128,35.1355,0.92017,62.3
1,d15,54,76356.0,9.963e-06,0.017156,35.115,0.9207,62.3
1,d15,55,77770.0,7.342e-06,0.017084,35.1401,0.92049,62.1
1,d15,56,79184.0,5.111e-06,0.016996,35.1466,0.92036,62.2
1,d15,57,80598.0,3.278e-06,0.017002,35.1399,0.92061,62.3
1,d15,58,82012.0,1.847e-06,0.017055,35.1366,0.92075,62.3
1,d15,59,83426.0,8.217e-07,0.016995,35.1447,0.9207,62.1
1,d15,60,84840.0,2.056e-07,0.017087,35.1463,0.92062,62.4
1,d2,1,1414.0,0.0003,0.023126,33.0038,0.87048,62.5
1,d2,2,2828.0,0.0002998,0.021902,33.1761,0.87629,62.1
1,d2,3,4242.0,0.0002992,0.021589,33.2501,0.87589,62.4
1,d2,4,5656.0,0.0002982,0.021333,33.3587,0.87578,62.4
1,d2,5,7070.0,0.0002967,0.021253,33.3008,0.87951,62.2
1,d2,6,8484.0,0.0002949,0.021179,33.4257,0.87915,62.2
1,d2,7,9898.0,0.0002927,0.021067,33.3747,0.88229,62.1
1,d2,8,11312.0,0.00029,0.020991,33.5948,0.88035,61.9
1,d2,9,12726.0,0.000287,0.020872,33.5472,0.88373,62.1
1,d2,10,14140.0,0.0002837,0.02079,33.4485,0.88414,61.9
1,d2,11,15554.0,0.0002799,0.020684,33.6274,0.88405,62.0
1,d2,12,16968.0,0.0002758,0.020644,33.6564,0.88214,62.0
1,d2,13,18382.0,0.0002714,0.020572,33.6231,0.87867,61.7
1,d2,14,19796.0,0.0002666,0.020538,33.6591,0.88661,61.7
1,d2,15,21210.0,0.0002615,0.020486,33.8289,0.88443,61.8
1,d2,16,22624.0,0.0002561,0.020429,33.839,0.88571,61.9
1,d2,17,24038.0,0.0002504,0.02039,33.6719,0.88634,62.0
1,d2,18,25452.0,0.0002444,0.02037,33.5952,0.88719,61.9
1,d2,19,26866.0,0.0002382,0.020338,33.8172,0.88588,62.1
1,d2,20,28280.0,0.0002317,0.020296,33.8112,0.88463,62.5
1,d2,21,29694.0,0.000225,0.020174,33.8759,0.88536,62.3
1,d2,22,31108.0,0.0002181,0.020252,33.8042,0.88677,62.2
1,d2,23,32522.0,0.000211,0.020243,33.8374,0.88756,62.5
1,d2,24,33936.0,0.0002038,0.020143,33.9008,0.88963,62.4
1,d2,25,35350.0,0.0001964,0.020084,33.8563,0.88814,62.5
1,d2,26,36764.0,0.0001888,0.020058,33.895,0.88816,62.1
1,d2,27,38178.0,0.0001812,0.020026,33.9387,0.88773,61.9
1,d2,28,39592.0,0.0001735,0.020113,33.9547,0.88779,62.3
1,d2,29,41006.0,0.0001657,0.020073,33.9245,0.88702,62.5
1,d2,30,42420.0,0.0001579,0.019967,33.9826,0.88856,62.5
1,d2,31,43834.0,0.00015,0.019907,34.0109,0.88926,62.6
1,d2,32,45248.0,0.0001421,0.019949,34.005,0.88968,62.2
1,d2,33,46662.0,0.0001343,0.019857,34.0611,0.88809,62.0
1,d2,34,48076.0,0.0001265,0.019857,33.9461,0.89151,62.5
1,d2,35,49490.0,0.0001188,0.019825,34.0689,0.88962,62.4
1,d2,36,50904.0,0.0001112,0.019829,34.0108,0.89056,62.5
1,d2,37,52318.0,0.0001036,0.019745,33.992,0.88989,62.5
1,d2,38,53732.0,9.624e-05,0.019719,34.0435,0.89128,62.3
1,d2,39,55146.0,8.899e-05,0.019765,34.098,0.89072,62.1
1,d2,40,56560.0,8.19e-05,0.019728,34.1006,0.89043,62.0
1,d2,41,57974.0,7.5e-05,0.019657,34.1047,0.88994,61.9
1,d2,42,59388.0,6.83e-05,0.019671,34.0331,0.89219,61.9
1,d2,43,60802.0,6.183e-05,0.019648,34.0132,0.8897,62.1
1,d2,44,62216.0,5.56e-05,0.019612,34.0978,0.89253,62.2
1,d2,45,63630.0,4.963e-05,0.019553,34.1249,0.8924,62.3
1,d2,46,65044.0,4.393e-05,0.019617,34.1535,0.89233,62.2
1,d2,47,66458.0,3.853e-05,0.019606,34.1506,0.89244,61.6
1,d2,48,67872.0,3.343e-05,0.019444,34.1774,0.89276,61.5
1,d2,49,69286.0,2.865e-05,0.019571,34.1761,0.8921,61.6
1,d2,50,70700.0,2.42e-05,0.019601,34.1659,0.89302,61.6
1,d2,51,72114.0,2.01e-05,0.019534,34.1617,0.89308,61.5
1,d2,52,73528.0,1.635e-05,0.019544,34.1728,0.8934,61.5
1,d2,53,74942.0,1.297e-05,0.019532,34.1798,0.89299,61.7
1,d2,54,76356.0,9.963e-06,0.019577,34.1928,0.89376,61.5
1,d2,55,77770.0,7.342e-06,0.019497,34.1864,0.89304,61.5
1,d2,56,79184.0,5.111e-06,0.019407,34.2039,0.89299,61.4
